penalty,cov_str,predictor_cor,tp
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,10
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,3
lasso,diagonal,No,10
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,3
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,3
lasso,diagonal,No,10
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,10
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,3
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,3
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,3
lasso,diagonal,No,10
lasso,diagonal,No,10
lasso,diagonal,No,3
