penalty,cov_str,tp
lasso,diagonal,3
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,9
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,9
lasso,diagonal,9
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,9
lasso,diagonal,9
lasso,diagonal,9
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,9
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,9
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,9
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,9
lasso,diagonal,10
lasso,diagonal,9
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,9
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,9
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,9
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,10
lasso,diagonal,3
lasso,diagonal,10
lasso,diagonal,9
lasso,diagonal,10
lasso,diagonal,3
lasso,diagonal,10
lasso,diagonal,10
