q,otu_cor,cov_str,tp
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,7
3,band,diagonal,11
3,band,diagonal,4
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,7
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,4
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,4
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,4
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,4
3,band,diagonal,4
3,band,diagonal,4
3,band,diagonal,11
3,band,diagonal,11
3,band,diagonal,4
3,block,diagonal,11
3,block,diagonal,11
3,block,diagonal,11
3,block,diagonal,11
