penalty,cov_str,predictor_cor,tp
LASSO,diagonal,No,10
LASSO,diagonal,No,10
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,10
LASSO,diagonal,No,10
LASSO,diagonal,No,10
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,10
LASSO,diagonal,No,10
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,10
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,10
LASSO,diagonal,No,10
LASSO,diagonal,No,10
LASSO,diagonal,No,10
LASSO,diagonal,No,3
LASSO,diagonal,No,10
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,10
LASSO,diagonal,No,10
LASSO,diagonal,No,3
LASSO,diagonal,No,10
LASSO,diagonal,No,10
LASSO,diagonal,No,10
LASSO,diagonal,No,3
LASSO,diagonal,No,10
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,10
LASSO,diagonal,No,10
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,10
LASSO,diagonal,No,10
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,10
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,3
LASSO,diagonal,No,10
LASSO,diagonal,No,10
LASSO,diagonal,No,10
LASSO,diagonal,No,3
LASSO,diagonal,No,10
LASSO,diagonal,No,10
LASSO,diagonal,No,3
LASSO,diagonal,No,10
LASSO,diagonal,No,10
