penalty,cov_str,tp
LASSO,diagonal,3
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,9
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,9
LASSO,diagonal,9
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,9
LASSO,diagonal,9
LASSO,diagonal,9
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,9
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,9
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,9
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,9
LASSO,diagonal,10
LASSO,diagonal,9
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,9
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,9
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,9
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
LASSO,diagonal,10
